epoch,timestamp,learning_rate,epoch_time_seconds,epoch_time_formatted,l2,phase,ipd,intermediate_l2,intermediate_phase,intermediate_ipd,accumulated_loss
1,2026-04-22 10:40:33,0.000999499050604304,794.4777073860168,00:13:14,0.0003521130420267582,1.1821701526641846,0.982429027557373,0.00039963267045095563,1.2240192890167236,1.0319405794143677,0.00751745468005538
2,2026-04-22 10:53:51,0.0009979972112626316,797.3888409137726,00:13:17,0.0002190354571212083,1.1228487491607666,0.9053565859794617,0.0002362350933253765,1.147940993309021,0.9329102635383606,0.004552705213427544
3,2026-04-22 11:07:09,0.0009954975064795477,797.8647394180298,00:13:17,0.00018940350855700672,1.0944373607635498,0.8932904601097107,0.00021236187603790313,1.111950397491455,0.9076780676841736,0.004017654340714216
4,2026-04-22 11:20:27,0.0009920049703278182,798.0128183364868,00:13:18,0.00017703391495160758,1.0775738954544067,0.8948498368263245,0.00020275762653909624,1.0892205238342285,0.899429440498352,0.0037979159969836473
5,2026-04-22 11:33:45,0.0009875266363104573,797.958247423172,00:13:17,0.00016182154649868608,1.0594162940979004,0.8879579305648804,0.00019266223534941673,1.0701268911361694,0.891376256942749,0.003544839797541499
6,2026-04-22 11:47:04,0.000982071523196187,799.4411723613739,00:13:19,0.0002797344350256026,1.1171143054962158,0.939390242099762,0.00027942261658608913,1.1233903169631958,0.9412436485290527,0.005591562949120998
7,2026-04-22 12:00:23,0.0009756506168568389,799.0279581546783,00:13:19,0.00017890252638608217,1.0715034008026123,0.9033597707748413,0.00020014468464069068,1.0752620697021484,0.8993295431137085,0.0037904693745076656
8,2026-04-22 12:13:42,0.0009682768481432693,799.2083601951599,00:13:19,0.00016960319771897048,1.0548454523086548,0.8984483480453491,0.00019305759633425623,1.0613231658935547,0.8948161005973816,0.0036266043316572905
9,2026-04-22 12:27:01,0.0009599650668443468,799.0467345714569,00:13:19,0.0001598600356373936,1.0504666566848755,0.8992123603820801,0.00018687268311623484,1.0565744638442993,0.8953109979629517,0.0034673241898417473
10,2026-04-22 12:40:21,0.0009507320117814534,799.1191794872284,00:13:19,0.00014935729268472642,1.041799783706665,0.89937424659729,0.00018021103460341692,1.0516555309295654,0.8970320224761963,0.003295683767646551
11,2026-04-22 12:53:40,0.0009405962770987271,799.5859708786011,00:13:19,0.00014235592971090227,1.0355849266052246,0.8960227966308594,0.0001749414805090055,1.0477827787399292,0.8950589299201965,0.0031729775946587324
12,2026-04-22 13:06:59,0.0009295782748169284,798.3988111019135,00:13:18,0.00013609013694804162,1.0299973487854004,0.8964917063713074,0.00017015951743815094,1.0453523397445679,0.8992090821266174,0.0030624910723417997
13,2026-04-22 13:20:17,0.000917700193726348,798.2938933372498,00:13:18,0.00013083319936413318,1.0264133214950562,0.8957379460334778,0.00016637786757200956,1.0437610149383545,0.900567889213562,0.002972115995362401
14,2026-04-22 13:33:35,0.0009049859547015363,798.4349317550659,00:13:18,0.00012618988694157451,1.0199090242385864,0.8936794400215149,0.00016310329374391586,1.0387299060821533,0.8998945951461792,0.0028929300606250763
15,2026-04-22 13:46:54,0.0008914611625278449,798.4111020565033,00:13:18,0.00012208522821310908,1.016333818435669,0.8906632661819458,0.00016012111154850572,1.0364032983779907,0.8975755572319031,0.0028220622334629297
16,2026-04-22 14:00:12,0.0008771530543367965,798.3152022361755,00:13:18,0.00011862669634865597,1.0122579336166382,0.8891063332557678,0.00015772438200656325,1.0334744453430176,0.8967694044113159,0.00276350905187428
17,2026-04-22 14:13:30,0.0008620904447541273,798.4031255245209,00:13:18,0.00011587134940782562,1.0068731307983398,0.8866559267044067,0.0001558000803925097,1.0293165445327759,0.8951075673103333,0.0027167173102498055
18,2026-04-22 14:26:49,0.0008463036678709652,798.492870092392,00:13:18,0.00011339521734043956,1.004957675933838,0.8863534927368164,0.00015408711624331772,1.0278525352478027,0.8950437307357788,0.002674825256690383
19,2026-04-22 14:40:07,0.000829824516155007,798.4231791496277,00:13:18,0.00011105417797807604,1.0018675327301025,0.8839561343193054,0.00015238209743984044,1.0255874395370483,0.8932669162750244,0.0026343564968556166
20,2026-04-22 14:53:26,0.00081268617642472,798.7608892917633,00:13:18,0.00010927279072348028,1.0000067949295044,0.8840720057487488,0.00015105691272765398,1.0241172313690186,0.8936519622802734,0.0026032994501292706
21,2026-04-22 15:06:45,0.0007949231630155054,798.6082751750946,00:13:18,0.00010704976011766121,0.9968329071998596,0.8823038935661316,0.00014946104784030467,1.0214699506759644,0.8923465013504028,0.0025651066098362207
22,2026-04-22 15:20:04,0.0007765712482724211,798.752471446991,00:13:18,0.00010547351121203974,0.9953759908676147,0.8816058039665222,0.0001483169908169657,1.020198941230774,0.8917937874794006,0.002537904540076852
23,2026-04-22 15:33:22,0.0007576673905094383,798.5896732807159,00:13:18,0.00010409532114863396,0.9933492541313171,0.8801226019859314,0.00014739403559360653,1.0188548564910889,0.8909205794334412,0.0025148908607661724
24,2026-04-22 15:46:41,0.0007382496595803169,798.486359834671,00:13:18,0.0001029125414788723,0.9918197393417358,0.8789590001106262,0.00014654462574981153,1.0176060199737549,0.8903082609176636,0.002494573127478361
25,2026-04-22 15:59:59,0.0007183571602109852,798.5758912563324,00:13:18,0.0001017733957269229,0.9909259676933289,0.8789973258972168,0.00014575987006537616,1.0169581174850464,0.8901817202568054,0.0024753310717642307
26,2026-04-22 16:13:18,0.000698029953247827,798.4572465419769,00:13:18,0.00010034780279966071,0.9884965419769287,0.8777877688407898,0.00014459271915256977,1.0147570371627808,0.8890753388404846,0.0024494053795933723
27,2026-04-22 16:26:36,0.000677308974980468,798.7091405391693,00:13:18,9.923432662617415e-05,0.987056314945221,0.8774130344390869,0.0001438410981791094,1.0134618282318115,0.8890226483345032,0.0024307561106979847
28,2026-04-22 16:39:55,0.0006562359547015364,798.6449830532074,00:13:18,9.828365728026256e-05,0.9850322604179382,0.8750714659690857,0.00014320101763587445,1.0117597579956055,0.8866774439811707,0.0024148463271558285
29,2026-04-22 16:53:14,0.0006348533306694209,798.5167284011841,00:13:18,9.713648614706472e-05,0.9833248853683472,0.8745964169502258,0.0001422857603756711,1.0103726387023926,0.8866819739341736,0.0023942238185554743
30,2026-04-22 17:06:32,0.0006132041646432664,798.0126490592957,00:13:18,9.607333777239546e-05,0.9815660119056702,0.8738641738891602,0.00014154119708109647,1.0086677074432373,0.8862664103507996,0.002376148710027337
31,2026-04-22 17:19:50,0.0005913320551623217,797.8601644039154,00:13:17,9.533695265417919e-05,0.9801047444343567,0.873397946357727,0.00014092483615968376,1.0073827505111694,0.8856956958770752,0.002362617524340749
32,2026-04-22 17:33:07,0.0005692810497442836,797.9056720733643,00:13:17,9.437357221031561e-05,0.9785672426223755,0.8715174794197083,0.00014033899060450494,1.0061957836151123,0.8841517567634583,0.002347126603126526
33,2026-04-22 17:46:25,0.0005470955561794582,797.8801155090332,00:13:17,9.385689190821722e-05,0.9784857630729675,0.8711535930633545,0.00013993792526889592,1.0061125755310059,0.8839581608772278,0.0023379495833069086
34,2026-04-22 17:59:43,0.0005248202530993812,797.9344789981842,00:13:17,9.296015923609957e-05,0.9763196706771851,0.8701434135437012,0.00013923471851740032,1.0042253732681274,0.8831318616867065,0.002321950625628233
35,2026-04-22 18:13:01,0.0005025,797.8341341018677,00:13:17,9.209588461089879e-05,0.9747000932693481,0.8694130182266235,0.00013858194870408624,1.0028635263442993,0.8825287222862244,0.002306779380887747
36,2026-04-22 18:26:19,0.0004801797469006189,797.8877203464508,00:13:17,9.137925371760502e-05,0.9734438061714172,0.8684900999069214,0.00013811296958010644,1.0017509460449219,0.8817785382270813,0.002294925507158041
37,2026-04-22 18:39:37,0.00045790444382054187,797.8623416423798,00:13:17,9.101891191676259e-05,0.9725545644760132,0.8678947687149048,0.00013783722533844411,1.0007829666137695,0.8813806772232056,0.002288565505295992
38,2026-04-22 18:52:55,0.0004357189502557165,797.884369134903,00:13:17,8.992213406600058e-05,0.9713939428329468,0.8671600222587585,0.00013705492892768234,0.9995700120925903,0.8805896043777466,0.0022697707172483206
39,2026-04-22 19:06:13,0.0004136679448376783,798.0943541526794,00:13:18,8.940912812249735e-05,0.9704550504684448,0.867030143737793,0.00013666466111317277,0.9986903071403503,0.8803681135177612,0.002260735724121332
40,2026-04-22 19:19:31,0.0003917958353567336,797.9822006225586,00:13:17,8.863396942615509e-05,0.969602108001709,0.8667722940444946,0.00013612248585559428,0.9979332685470581,0.879931628704071,0.0022475668229162693
41,2026-04-22 19:32:49,0.00037014666933057926,797.9599237442017,00:13:17,8.796594920568168e-05,0.9683712124824524,0.866191565990448,0.0001356491557089612,0.9968144297599792,0.8795490264892578,0.002236150437965989
42,2026-04-22 19:46:07,0.0003487640452984637,797.8432250022888,00:13:17,8.744586375541985e-05,0.9681454300880432,0.8663926720619202,0.00013530364958569407,0.9964056611061096,0.8796799778938293,0.002227495424449444
43,2026-04-22 19:59:25,0.0003276910250195321,797.82204413414,00:13:17,8.682572661200538e-05,0.966362476348877,0.86583012342453,0.00013485524686984718,0.9948768615722656,0.8793553709983826,0.0022168103605508804
44,2026-04-22 20:12:42,0.00030697004675217315,797.81755900383,00:13:17,8.629551302874461e-05,0.9660135507583618,0.8653103113174438,0.00013447152741719037,0.9942375421524048,0.8783643841743469,0.002207670360803604
45,2026-04-22 20:26:00,0.0002866428397890149,797.7674448490143,00:13:17,8.57053673826158e-05,0.9649507403373718,0.8650466799736023,0.0001340715680271387,0.9931849837303162,0.8783568143844604,0.002197768073529005
46,2026-04-22 20:39:18,0.00026675034041968317,797.7513084411621,00:13:17,8.510577026754618e-05,0.9645200967788696,0.86497962474823,0.00013364820915739983,0.9926754236221313,0.8781143426895142,0.002187540987506509
47,2026-04-22 20:52:36,0.00024733260949056176,797.7528057098389,00:13:17,8.464114944217727e-05,0.9645209312438965,0.8653373122215271,0.0001333574764430523,0.9923723936080933,0.8782038688659668,0.002179986098781228
48,2026-04-22 21:05:54,0.00022842875172757906,797.8601326942444,00:13:17,8.406756387557834e-05,0.9636035561561584,0.8645778298377991,0.0001329688966507092,0.9914575219154358,0.877436637878418,0.002170362276956439
49,2026-04-22 21:19:11,0.0002100768369844947,797.8306317329407,00:13:17,8.351311407750472e-05,0.9634114503860474,0.8644375801086426,0.00013260320702102035,0.9910382628440857,0.8770078420639038,0.0021611619740724564
50,2026-04-22 21:32:29,0.0001923138235752801,797.7847731113434,00:13:17,8.308705582749099e-05,0.9628951549530029,0.8648866415023804,0.00013233300705906004,0.990333616733551,0.8773472905158997,0.0021542003378272057
51,2026-04-22 21:45:47,0.000175175483844993,797.7588193416595,00:13:17,8.26564064482227e-05,0.962541401386261,0.8650892376899719,0.00013206434960011393,0.9898223876953125,0.8772337436676025,0.0021472068037837744
52,2026-04-22 21:59:05,0.00015869633212903486,797.6784536838531,00:13:17,8.215597335947677e-05,0.9615721702575684,0.8646728992462158,0.0001317414571531117,0.9887717366218567,0.8767638802528381,0.002138975542038679
53,2026-04-22 22:12:22,0.00014290955524587278,797.7107396125793,00:13:17,8.170078945113346e-05,0.961308479309082,0.8643648028373718,0.00013142477837391198,0.9884592294692993,0.8763927221298218,0.0021312523167580366
54,2026-04-22 22:25:40,0.00012784694566320362,797.7562313079834,00:13:17,8.123861334752291e-05,0.961240291595459,0.8651019930839539,0.0001311786618316546,0.9879280924797058,0.8767020106315613,0.002124170772731304
55,2026-04-22 22:38:58,0.00011353883747215518,797.6712779998779,00:13:17,8.082563726929948e-05,0.9616807103157043,0.8652688264846802,0.00013094392488710582,0.9882853627204895,0.8768193125724792,0.00211769575253129
56,2026-04-22 22:52:16,0.00010001404529846369,797.6804542541504,00:13:17,8.042298577493057e-05,0.9608100056648254,0.864629864692688,0.0001306906051468104,0.9872258305549622,0.8760107755661011,0.002111138077452779
57,2026-04-22 23:05:33,8.729980627365193e-05,797.6802945137024,00:13:17,8.003355469554663e-05,0.9610298871994019,0.8653433322906494,0.00013046956155449152,0.987253725528717,0.876400887966156,0.0021050330251455307
58,2026-04-22 23:18:51,7.542172518307161e-05,797.6778223514557,00:13:17,7.965184340719134e-05,0.9607589244842529,0.8652499318122864,0.0001302716846112162,0.9868059754371643,0.8762959837913513,0.0020992374047636986
59,2026-04-22 23:32:09,6.440372290127285e-05,797.7651908397675,00:13:17,7.936148904263973e-05,0.9604073166847229,0.8650132417678833,0.00013008872338104993,0.9863192439079285,0.8759357333183289,0.0020945051219314337
60,2026-04-22 23:45:26,5.426798821854653e-05,797.7672619819641,00:13:17,7.89193290984258e-05,0.9604659676551819,0.8654031157493591,0.00012987903028260916,0.9861907958984375,0.87602698802948,0.0020879823714494705
61,2026-04-22 23:58:44,4.503493315565334e-05,797.7275488376617,00:13:17,7.85896772868e-05,0.9601027369499207,0.8651589155197144,0.00012971184332855046,0.9857438206672668,0.8758509755134583,0.00208301586098969
62,2026-04-23 00:12:02,3.672315185673074e-05,797.9452402591705,00:13:17,7.834131247363985e-05,0.9603959918022156,0.8651881217956543,0.0001295597176067531,0.9857913255691528,0.8755391240119934,0.0020790123380720615
63,2026-04-23 00:25:20,2.934938314316112e-05,797.792103767395,00:13:17,7.80112823122181e-05,0.960159420967102,0.8657034039497375,0.00012941342720296234,0.9854833483695984,0.8760486841201782,0.002074244897812605
64,2026-04-23 00:38:38,2.2928476803813013e-05,797.7490220069885,00:13:17,7.77547902544029e-05,0.9601763486862183,0.8655527234077454,0.00012928349315188825,0.9853830337524414,0.8757903575897217,0.0020703852642327547
65,2026-04-23 00:51:56,1.747336368954275e-05,797.827555179596,00:13:17,7.756653940305114e-05,0.9605668187141418,0.8656442165374756,0.00012918486027047038,0.9855872392654419,0.8757321834564209,0.0020675163250416517
66,2026-04-23 01:05:14,1.2995029672181741e-05,798.0989825725555,00:13:18,7.736475527053699e-05,0.9602563381195068,0.8657230734825134,0.00012909204815514386,0.9853321313858032,0.8759016990661621,0.0020645668264478445
67,2026-04-23 01:18:32,9.502493520452486e-06,798.3452808856964,00:13:18,7.719209679635242e-05,0.9603624939918518,0.8658514022827148,0.000129011576063931,0.985317587852478,0.8759558200836182,0.0020620382856577635
68,2026-04-23 01:31:50,7.002788737368564e-06,798.4101102352142,00:13:18,7.707090844633058e-05,0.9600568413734436,0.8657689094543457,0.0001289473584620282,0.984954297542572,0.8757469058036804,0.0020601816941052675
69,2026-04-23 01:45:09,5.5009493956959924e-06,798.2353157997131,00:13:18,7.69660109654069e-05,0.960211992263794,0.8658716678619385,0.00012890422658529133,0.9851034879684448,0.8758865594863892,0.002058702055364847
70,2026-04-23 01:58:27,0.001,798.2583205699921,00:13:18,7.690074562560767e-05,0.9605763554573059,0.8661391139030457,0.0001288750790990889,0.9853306412696838,0.8760141134262085,0.0020577595569193363
