epoch,timestamp,learning_rate,epoch_time_seconds,epoch_time_formatted,l2,phase,ipd,warp,warp_smooth,intermediate_l2,intermediate_phase,intermediate_ipd,accumulated_loss
1,2026-04-16 17:50:07,0.001,820.7960247993469,00:13:40,0.00046443066094070673,1.4344907999038696,1.2408517599105835,1.4121168533165473e-05,1.2580272934492598e-10,0.00048162147868424654,1.4769580364227295,1.251482605934143,0.03858904913067818
2,2026-04-16 18:03:53,0.001,826.4060566425323,00:13:46,0.00029481452656909823,1.351178765296936,1.1856590509414673,1.3178472727304325e-05,5.3614671730040087e-11,0.000341192411724478,1.392991304397583,1.2197844982147217,0.03381500020623207
3,2026-04-16 18:17:41,0.001,827.9903659820557,00:13:47,0.0002570094366092235,1.302176833152771,1.1405413150787354,1.5369198081316426e-05,6.539682684270076e-11,0.00031217094510793686,1.356874704360962,1.2017234563827515,0.032297734171152115
4,2026-04-16 18:31:29,0.001,828.111980676651,00:13:48,0.0002333578304387629,1.2589514255523682,1.0980665683746338,1.4901777831255458e-05,6.693938459090276e-11,0.00029454173636622727,1.3277993202209473,1.1724553108215332,0.03116142936050892
5,2026-04-16 18:45:17,0.001,828.0433280467987,00:13:48,0.0002194627159042284,1.231096863746643,1.0768111944198608,1.417936073266901e-05,6.584776474083398e-11,0.0002837089996319264,1.3089215755462646,1.1547207832336426,0.030446071177721024
6,2026-04-16 18:59:06,0.001,828.0259745121002,00:13:48,0.00020953714556526393,1.2104871273040771,1.0641275644302368,1.3300867067300715e-05,6.322879025910666e-11,0.00027639346080832183,1.2945514917373657,1.1431775093078613,0.029923001304268837
7,2026-04-16 19:12:53,0.001,827.8385598659515,00:13:47,0.0002026195143116638,1.1944371461868286,1.0538254976272583,1.2723333384201396e-05,6.023122972598216e-11,0.0002715084992814809,1.2838917970657349,1.1345947980880737,0.029537295922636986
8,2026-04-16 19:26:41,0.001,827.9376406669617,00:13:47,0.0001968569413293153,1.1797407865524292,1.0458446741104126,1.2760579920723103e-05,6.118430068147163e-11,0.0002673390263225883,1.2743581533432007,1.1285958290100098,0.029195772483944893
9,2026-04-16 19:40:29,0.001,827.7425935268402,00:13:47,0.00019305088790133595,1.168225646018982,1.0386924743652344,1.2639154192584101e-05,5.7515280732500784e-11,0.00026479692314751446,1.266913890838623,1.1233097314834595,0.028942463919520378
10,2026-04-16 19:54:17,0.001,827.9303650856018,00:13:47,0.00018951550009660423,1.159624695777893,1.0352030992507935,1.2186760613985825e-05,5.445133233195065e-11,0.00026235522818751633,1.2614755630493164,1.1207613945007324,0.028741881251335144
11,2026-04-16 20:08:05,0.001,827.9146862030029,00:13:47,0.00018613305292092264,1.151336669921875,1.0290776491165161,1.2190356756036635e-05,5.536814409734525e-11,0.00025984254898503423,1.2563811540603638,1.1161582469940186,0.028549127280712128
12,2026-04-16 20:21:53,0.001,827.8567759990692,00:13:47,0.00018335798813495785,1.1439274549484253,1.024080753326416,1.1472652658994775e-05,5.547071829647976e-11,0.0002580410218797624,1.2519642114639282,1.1131199598312378,0.028384435921907425
13,2026-04-16 20:35:41,0.001,828.2751190662384,00:13:48,0.00018108118092641234,1.1377331018447876,1.0187230110168457,1.1513852768985089e-05,5.686072793165131e-11,0.0002565878094173968,1.2485114336013794,1.1101081371307373,0.02825058624148369
14,2026-04-16 20:49:29,0.001,828.2309114933014,00:13:48,0.00017925612337421626,1.131679892539978,1.0134670734405518,1.1367083970981184e-05,5.566340444129736e-11,0.0002553082013037056,1.245173454284668,1.1075332164764404,0.028125548735260963
15,2026-04-16 21:03:17,0.001,827.8067939281464,00:13:47,0.00017743166245054454,1.1249408721923828,1.0058642625808716,1.141691336670192e-05,5.68665635414245e-11,0.00025409922818653286,1.241902470588684,1.104032278060913,0.027995124459266663
16,2026-04-16 21:17:05,0.001,827.9928436279297,00:13:47,0.00017581169959157705,1.1182591915130615,0.9994614720344543,1.1072535016865004e-05,5.4570927637831446e-11,0.00025300667039118707,1.2389227151870728,1.1018258333206177,0.027871111407876015
17,2026-04-16 21:30:54,0.001,828.4767699241638,00:13:48,0.0001741760061122477,1.1125680208206177,0.9911065101623535,1.0972779818985146e-05,5.456127216696416e-11,0.000252175988862291,1.236676812171936,1.0986356735229492,0.027766935527324677
18,2026-04-16 21:44:42,0.001,827.9929814338684,00:13:47,0.0001727351627778262,1.1055078506469727,0.9841511845588684,1.1119596820208244e-05,5.604998409847184e-11,0.0002511674538254738,1.233891487121582,1.0957413911819458,0.027644162997603416
19,2026-04-16 21:58:30,0.001,828.0208668708801,00:13:48,0.00017192248196806759,1.101413607597351,0.979473352432251,1.0749377906904556e-05,5.3689046264349116e-11,0.00025057909078896046,1.232108473777771,1.09398353099823,0.02757095731794834
20,2026-04-16 22:12:18,0.001,827.9626588821411,00:13:47,0.00017066291184164584,1.0981303453445435,0.974852442741394,1.0451362868479919e-05,5.233804362125838e-11,0.00024961409508250654,1.2308626174926758,1.091829776763916,0.027503158897161484
21,2026-04-16 22:26:06,0.001,828.1417891979218,00:13:48,0.00016953035083133727,1.0929745435714722,0.9707380533218384,1.07855667010881e-05,5.453216697648422e-11,0.00024882779689505696,1.2282296419143677,1.0893956422805786,0.027406426146626472
22,2026-04-16 22:39:54,0.001,828.6419365406036,00:13:48,0.00016842996410559863,1.0891671180725098,0.96760493516922,1.0842494702956174e-05,5.480856740680551e-11,0.00024798736558295786,1.2264807224273682,1.0878878831863403,0.027331454679369926
23,2026-04-16 22:53:43,0.001,828.3990802764893,00:13:48,0.00016769961803220212,1.085945725440979,0.9637377858161926,1.0448780813021585e-05,5.338850195268918e-11,0.0002475065994076431,1.2246962785720825,1.0859638452529907,0.027268914505839348
24,2026-04-16 23:07:31,0.001,828.1103780269623,00:13:48,0.00016640270769130439,1.0824264287948608,0.9602476358413696,1.0741802725533489e-05,5.567178315568633e-11,0.0002465038560330868,1.2228199243545532,1.0837197303771973,0.027192311361432076
25,2026-04-16 23:21:19,0.001,828.2356145381927,00:13:48,0.00016747970948927104,1.0802991390228271,0.9582213163375854,1.0475421731825918e-05,5.429733745954124e-11,0.0002472036867402494,1.221798062324524,1.0821986198425293,0.02717830054461956
26,2026-04-16 23:35:08,0.001,828.5449678897858,00:13:48,0.00016558791685383767,1.076778769493103,0.9554296135902405,1.053661708283471e-05,5.517522203013492e-11,0.00024587733787484467,1.2200086116790771,1.0803561210632324,0.02709299884736538
27,2026-04-16 23:48:56,0.001,828.2970736026764,00:13:48,0.0001642855058889836,1.074920892715454,0.9535403251647949,1.0334044418414123e-05,5.445139478199579e-11,0.00024505911278538406,1.218823790550232,1.0787773132324219,0.027041198685765266
28,2026-04-17 00:02:44,0.001,828.2959094047546,00:13:48,0.00016398077423218638,1.0720150470733643,0.9512318968772888,1.026745667331852e-05,5.4129176835227e-11,0.0002447298029437661,1.2175041437149048,1.0777539014816284,0.026992591097950935
29,2026-04-17 00:16:33,0.001,828.4721660614014,00:13:48,0.0001633542706258595,1.0700767040252686,0.9491938948631287,1.0313276106899139e-05,5.3383249210003925e-11,0.0002443551493342966,1.2162314653396606,1.0761288404464722,0.02695056051015854
30,2026-04-17 00:30:21,0.001,828.4315798282623,00:13:48,0.0001627107267268002,1.0678406953811646,0.947485089302063,1.0348963769502006e-05,5.458832344484854e-11,0.00024382080300711095,1.2150596380233765,1.0744391679763794,0.02690463326871395
31,2026-04-17 00:44:09,0.001,827.6822192668915,00:13:47,0.00027229153783991933,1.190266728401184,0.6985048651695251,0.00013884619693271816,8.905118864532824e-10,0.00041923520620912313,1.3119837045669556,0.7502261400222778,0.1769496500492096
32,2026-04-17 00:57:57,0.001,827.7742462158203,00:13:47,0.0002587145136203617,1.163866639137268,0.6566098928451538,0.0001109709482989274,7.484856068273871e-10,0.00040659206570126116,1.2936800718307495,0.7087295651435852,0.1678733378648758
33,2026-04-17 01:11:45,0.001,827.7381312847137,00:13:47,0.00025926175294443965,1.1559340953826904,0.6477481126785278,9.34000636334531e-05,6.105625449670526e-10,0.0004059929633513093,1.288106083869934,0.6997707486152649,0.165938600897789
